Business Niche,Company Name,Location: USA,Phone Number,Yelp URL,Website URL
med spas,Austin Med Spa,"1611 W 6th St, Austin, TX, 78703",(512) 479-9997,https://www.yelp.com/biz/austin-med-spa-austin,http://www.austinmedspa.com
med spas,Rejuvenate Austin,"1301 W 5th St
Ste 100, Austin, TX, 78703",(512) 923-1071,https://www.yelp.com/biz/rejuvenate-austin-austin-5,https://www.rejuvenateaustin.com
med spas,Viva Day Spa + Med Spa,"215 S Lamar Blvd, Austin, TX, 78704",(512) 300-2256,https://www.yelp.com/biz/viva-day-spa-med-spa-austin-16,https://www.vivadayspa.com
med spas,Body Tonic Aesthetics &amp; Wellnesss,"300 Beardsley Ln
D-102, Austin, TX, 78746",(512) 383-5204,https://www.yelp.com/biz/body-tonic-aesthetics-and-wellnesss-austin,https://www.mybodytonic.com
med spas,The Injection Room,"3801 S Congress Ave
Ste 101, Austin, TX, 78704",(512) 330-4535,https://www.yelp.com/biz/the-injection-room-austin,https://www.theinjectionroom.com
med spas,Aesthetica MedSpa,"500 N Capital Of Texas Hwy
Bldg 6 Ste 100, Austin, TX, 78746",(512) 899-2639,https://www.yelp.com/biz/aesthetica-medspa-austin-2,https://amedspa.com
med spas,Viva Day Spa + Med Spa | Domain Northside,"11601 Rock Rose Ave, Austin, TX, 78758",(512) 300-2256,https://www.yelp.com/biz/viva-day-spa-med-spa-domain-northside-austin-6,https://www.vivadayspa.com
med spas,512 Skincare,"5656 Bee Caves Rd
Ste E201, Austin, TX, 78746",(512) 626-8883,https://www.yelp.com/biz/512-skincare-austin-3,https://512skincare.com
med spas,Ann Webb Skin Clinic,"11701 Jollyville Rd
Ste 107, Austin, TX, 78759",(512) 795-0145,https://www.yelp.com/biz/ann-webb-skin-clinic-austin-2,http://www.awskinclinic.com
med spas,Glow Spa &amp; Wax House,"7739 Northcross Dr
Ste E, Austin, TX, 78757",(512) 840-1080,https://www.yelp.com/biz/glow-spa-and-wax-house-austin,https://www.austinglowspa.com
med spas,SkinSpirit - Austin,"405 N Lamar Blvd
Ste 110, Austin, TX, 78703",(737) 255-8200,https://www.yelp.com/biz/skinspirit-austin-austin-2,https://www.skinspirit.com/locations/austin/?utm_source=yelp&utm_medium=website+link
med spas,Nurse Karen,"712 W 14th St
Ste C, Austin, TX, 78701",(512) 808-6833,https://www.yelp.com/biz/nurse-karen-austin-2,http://www.nursekaren.com
med spas,The Art of Anti-Aging,"2330 S Lamar Blvd
Ste 104, Austin, TX, 78704",(512) 937-8257,https://www.yelp.com/biz/the-art-of-anti-aging-austin,https://artofantiagingatx.com
med spas,Maui MedSpa,"10526 W Parmer Ln
Ste 425, Austin, TX, 78717",(737) 240-2212,https://www.yelp.com/biz/maui-medspa-austin-2,http://www.mauimedspa.com
med spas,Med Physique Center For Aesthetics,"6101 Balcones Dr
Ste 100, Austin, TX, 78731",(512) 453-7000,https://www.yelp.com/biz/med-physique-center-for-aesthetics-austin,https://www.medphysique.com
med spas,Muse MedSpa,"4201 Bee Cave Rd
B200, Austin, TX, 78746",(512) 230-3422,https://www.yelp.com/biz/muse-medspa-austin,https://www.musemedspaaustin.com
med spas,Maeva Aesthetics,"4005 Guadalupe St, Austin, TX, 78751",(512) 790-5201,https://www.yelp.com/biz/maeva-aesthetics-austin,http://hellomaeva.com
med spas,Glo Med Spa,"9801 Anderson Mill Rd
Ste 120, Austin, TX, 78750",(512) 336-7546,https://www.yelp.com/biz/glo-med-spa-austin-2,https://glomedspaaustin.com
med spas,Texas Laser &amp; Aesthetics Training Academy,"4534 W Gate Blvd
Ste 108, Austin, TX, 78745",(737) 258-7932,https://www.yelp.com/biz/texas-laser-and-aesthetics-training-academy-austin-2,https://www.texaslaseracademy.com
med spas,Refine Aesthetics,"713 W 14th St
Ste 100, Austin, TX, 78701",(512) 572-1240,https://www.yelp.com/biz/refine-aesthetics-austin-3,https://refineaesthetics.com
