Business Niche,Company Name,Location: USA,Phone Number,Yelp URL,Website URL
med spas,Austin Med Spa,"1611 W 6th St, Austin, TX, 78703",(512) 479-9997,https://www.yelp.com/biz/austin-med-spa-austin,http://www.austinmedspa.com
med spas,Viva Day Spa + Med Spa,"215 S Lamar Blvd, Austin, TX, 78704",(512) 300-2256,https://www.yelp.com/biz/viva-day-spa-med-spa-austin-16,https://www.vivadayspa.com
med spas,Rejuvenate Austin,"1301 W 5th St
Ste 100, Austin, TX, 78703",(512) 923-1071,https://www.yelp.com/biz/rejuvenate-austin-austin-5,https://www.rejuvenateaustin.com
med spas,Body Tonic Aesthetics &amp; Wellnesss,"300 Beardsley Ln
D-102, Austin, TX, 78746",(512) 383-5204,https://www.yelp.com/biz/body-tonic-aesthetics-and-wellnesss-austin,https://www.mybodytonic.com
med spas,Viva Day Spa + Med Spa | Domain Northside,"11601 Rock Rose Ave, Austin, TX, 78758",(512) 300-2256,https://www.yelp.com/biz/viva-day-spa-med-spa-domain-northside-austin-6,https://www.vivadayspa.com
med spas,The Injection Room,"3801 S Congress Ave
Ste 101, Austin, TX, 78704",(512) 330-4535,https://www.yelp.com/biz/the-injection-room-austin,https://www.theinjectionroom.com
med spas,Aesthetica MedSpa,"500 N Capital Of Texas Hwy
Bldg 6 Ste 100, Austin, TX, 78746",(512) 899-2639,https://www.yelp.com/biz/aesthetica-medspa-austin-2,https://amedspa.com
med spas,Glow Spa &amp; Wax House,"7739 Northcross Dr
Ste E, Austin, TX, 78757",(512) 840-1080,https://www.yelp.com/biz/glow-spa-and-wax-house-austin,https://www.austinglowspa.com
med spas,Ann Webb Skin Clinic,"11701 Jollyville Rd
Ste 107, Austin, TX, 78759",(512) 795-0145,https://www.yelp.com/biz/ann-webb-skin-clinic-austin-2,http://www.awskinclinic.com
med spas,512 Skincare,"5656 Bee Caves Rd
Ste E201, Austin, TX, 78746",(512) 626-8883,https://www.yelp.com/biz/512-skincare-austin-3,https://512skincare.com
